,colorIdentity,U,R,G,W,B ,None
463,,0,0,0,0,0,1
464,W,0,0,0,1,0,0
465,G,0,0,1,0,0,0
466,G,0,0,1,0,0,0
467,R,0,1,0,0,0,0
468,R,0,1,0,0,0,0
469,W,0,0,0,1,0,0
470,R,0,1,0,0,0,0
471,G,0,0,1,0,0,0
472,R,0,1,0,0,0,0
473,GR,0,1,1,0,0,0
474,W,0,0,0,1,0,0
475,W,0,0,0,1,0,0
477,U,1,0,0,0,0,0
478,U,1,0,0,0,0,0
479,R,0,1,0,0,0,0
480,B,0,0,0,0,1,0
481,GUW,1,0,1,1,0,0
482,G,0,0,1,0,0,0
483,G,0,0,1,0,0,0
484,R,0,1,0,0,0,0
485,U,1,0,0,0,0,0
486,BG,0,0,1,0,1,0
487,,0,0,0,0,0,1
488,G,0,0,1,0,0,0
489,U,1,0,0,0,0,0
491,W,0,0,0,1,0,0
492,R,0,1,0,0,0,0
493,,0,0,0,0,0,1
494,R,0,1,0,0,0,0
496,W,0,0,0,1,0,0
497,G,0,0,1,0,0,0
498,R,0,1,0,0,0,0
500,B,0,0,0,0,1,0
501,R,0,1,0,0,0,0
502,,0,0,0,0,0,1
503,U,1,0,0,0,0,0
504,U,1,0,0,0,0,0
505,B,0,0,0,0,1,0
506,W,0,0,0,1,0,0
507,G,0,0,1,0,0,0
508,U,1,0,0,0,0,0
509,W,0,0,0,1,0,0
510,R,0,1,0,0,0,0
512,U,1,0,0,0,0,0
513,W,0,0,0,1,0,0
514,BR,0,1,0,0,1,0
515,UW,1,0,0,1,0,0
516,W,0,0,0,1,0,0
517,G,0,0,1,0,0,0
518,R,0,1,0,0,0,0
519,U,1,0,0,0,0,0
520,W,0,0,0,1,0,0
521,W,0,0,0,1,0,0
522,W,0,0,0,1,0,0
523,UW,1,0,0,1,0,0
524,G,0,0,1,0,0,0
525,U,1,0,0,0,0,0
526,R,0,1,0,0,0,0
527,G,0,0,1,0,0,0
528,B,0,0,0,0,1,0
529,,0,0,0,0,0,1
531,BW,0,0,0,1,1,0
532,,0,0,0,0,0,1
533,W,0,0,0,1,0,0
534,,0,0,0,0,0,1
535,G,0,0,1,0,0,0
536,U,1,0,0,0,0,0
537,GU,1,0,1,0,0,0
538,G,0,0,1,0,0,0
539,BR,0,1,0,0,1,0
540,GRW,0,1,1,1,0,0
541,W,0,0,0,1,0,0
542,W,0,0,0,1,0,0
543,W,0,0,0,1,0,0
544,RW,0,1,0,1,0,0
545,R,0,1,0,0,0,0
546,B,0,0,0,0,1,0
547,GR,0,1,1,0,0,0
548,G,0,0,1,0,0,0
549,G,0,0,1,0,0,0
550,G,0,0,1,0,0,0
551,RU,1,1,0,0,0,0
552,,0,0,0,0,0,1
553,B,0,0,0,0,1,0
554,U,1,0,0,0,0,0
555,R,0,1,0,0,0,0
556,R,0,1,0,0,0,0
557,B,0,0,0,0,1,0
558,R,0,1,0,0,0,0
560,W,0,0,0,1,0,0
561,BR,0,1,0,0,1,0
562,UW,1,0,0,1,0,0
563,R,0,1,0,0,0,0
564,B,0,0,0,0,1,0
565,R,0,1,0,0,0,0
566,,0,0,0,0,0,1
567,B,0,0,0,0,1,0
568,R,0,1,0,0,0,0
569,G,0,0,1,0,0,0
570,U,1,0,0,0,0,0
571,U,1,0,0,0,0,0
572,R,0,1,0,0,0,0
573,U,1,0,0,0,0,0
574,G,0,0,1,0,0,0
575,B,0,0,0,0,1,0
576,,0,0,0,0,0,1
577,,0,0,0,0,0,1
578,B,0,0,0,0,1,0
579,B,0,0,0,0,1,0
580,G,0,0,1,0,0,0
581,G,0,0,1,0,0,0
582,W,0,0,0,1,0,0
584,G,0,0,1,0,0,0
585,U,1,0,0,0,0,0
586,G,0,0,1,0,0,0
587,R,0,1,0,0,0,0
588,R,0,1,0,0,0,0
589,,0,0,0,0,0,1
590,G,0,0,1,0,0,0
591,G,0,0,1,0,0,0
592,GU,1,0,1,0,0,0
593,,0,0,0,0,0,1
594,BG,0,0,1,0,1,0
595,B,0,0,0,0,1,0
596,U,1,0,0,0,0,0
597,UW,1,0,0,1,0,0
598,,0,0,0,0,0,1
599,GRW,0,1,1,1,0,0
600,R,0,1,0,0,0,0
601,,0,0,0,0,0,1
602,,0,0,0,0,0,1
604,B,0,0,0,0,1,0
605,G,0,0,1,0,0,0
606,R,0,1,0,0,0,0
607,R,0,1,0,0,0,0
608,B,0,0,0,0,1,0
609,B,0,0,0,0,1,0
610,BGU,1,0,1,0,1,0
611,W,0,0,0,1,0,0
612,G,0,0,1,0,0,0
613,,0,0,0,0,0,1
614,W,0,0,0,1,0,0
615,U,1,0,0,0,0,0
616,U,1,0,0,0,0,0
617,G,0,0,1,0,0,0
618,U,1,0,0,0,0,0
619,G,0,0,1,0,0,0
620,W,0,0,0,1,0,0
621,W,0,0,0,1,0,0
622,BG,0,0,1,0,1,0
623,U,1,0,0,0,0,0
624,G,0,0,1,0,0,0
625,W,0,0,0,1,0,0
626,G,0,0,1,0,0,0
627,U,1,0,0,0,0,0
628,R,0,1,0,0,0,0
629,R,0,1,0,0,0,0
630,G,0,0,1,0,0,0
631,W,0,0,0,1,0,0
632,U,1,0,0,0,0,0
633,U,1,0,0,0,0,0
634,W,0,0,0,1,0,0
635,W,0,0,0,1,0,0
636,B,0,0,0,0,1,0
637,B,0,0,0,0,1,0
638,W,0,0,0,1,0,0
640,BR,0,1,0,0,1,0
641,BRU,1,1,0,0,1,0
642,,0,0,0,0,0,1
643,,0,0,0,0,0,1
645,W,0,0,0,1,0,0
646,U,1,0,0,0,0,0
647,W,0,0,0,1,0,0
648,U,1,0,0,0,0,0
649,,0,0,0,0,0,1
650,GR,0,1,1,0,0,0
651,B,0,0,0,0,1,0
652,B,0,0,0,0,1,0
653,R,0,1,0,0,0,0
654,G,0,0,1,0,0,0
655,R,0,1,0,0,0,0
656,W,0,0,0,1,0,0
657,GU,1,0,1,0,0,0
658,B,0,0,0,0,1,0
659,B,0,0,0,0,1,0
660,U,1,0,0,0,0,0
661,B,0,0,0,0,1,0
662,R,0,1,0,0,0,0
663,B,0,0,0,0,1,0
664,G,0,0,1,0,0,0
666,R,0,1,0,0,0,0
667,GR,0,1,1,0,0,0
668,G,0,0,1,0,0,0
669,,0,0,0,0,0,1
670,BR,0,1,0,0,1,0
671,,0,0,0,0,0,1
672,R,0,1,0,0,0,0
673,BRU,1,1,0,0,1,0
674,B,0,0,0,0,1,0
675,B,0,0,0,0,1,0
676,R,0,1,0,0,0,0
677,W,0,0,0,1,0,0
678,R,0,1,0,0,0,0
679,U,1,0,0,0,0,0
680,R,0,1,0,0,0,0
681,G,0,0,1,0,0,0
682,W,0,0,0,1,0,0
683,U,1,0,0,0,0,0
684,BR,0,1,0,0,1,0
685,G,0,0,1,0,0,0
686,BGRUW,1,1,1,1,1,0
687,W,0,0,0,1,0,0
688,B,0,0,0,0,1,0
689,R,0,1,0,0,0,0
690,G,0,0,1,0,0,0
691,G,0,0,1,0,0,0
692,GUW,1,0,1,1,0,0
693,GR,0,1,1,0,0,0
694,G,0,0,1,0,0,0
695,R,0,1,0,0,0,0
696,G,0,0,1,0,0,0
697,G,0,0,1,0,0,0
698,B,0,0,0,0,1,0
699,UW,1,0,0,1,0,0
700,B,0,0,0,0,1,0
701,U,1,0,0,0,0,0
702,B,0,0,0,0,1,0
703,,0,0,0,0,0,1
704,,0,0,0,0,0,1
705,,0,0,0,0,0,1
706,G,0,0,1,0,0,0
708,UW,1,0,0,1,0,0
709,B,0,0,0,0,1,0
710,BG,0,0,1,0,1,0
711,G,0,0,1,0,0,0
712,BU,1,0,0,0,1,0
713,,0,0,0,0,0,1
714,U,1,0,0,0,0,0
715,RW,0,1,0,1,0,0
716,,0,0,0,0,0,1
717,G,0,0,1,0,0,0
718,B,0,0,0,0,1,0
719,G,0,0,1,0,0,0
720,BW,0,0,0,1,1,0
721,U,1,0,0,0,0,0
722,U,1,0,0,0,0,0
723,B,0,0,0,0,1,0
724,,0,0,0,0,0,1
725,W,0,0,0,1,0,0
726,B,0,0,0,0,1,0
727,G,0,0,1,0,0,0
728,B,0,0,0,0,1,0
730,,0,0,0,0,0,1
731,R,0,1,0,0,0,0
732,W,0,0,0,1,0,0
733,R,0,1,0,0,0,0
734,BU,1,0,0,0,1,0
735,BR,0,1,0,0,1,0
737,,0,0,0,0,0,1
738,G,0,0,1,0,0,0
739,R,0,1,0,0,0,0
740,B,0,0,0,0,1,0
741,R,0,1,0,0,0,0
742,G,0,0,1,0,0,0
743,G,0,0,1,0,0,0
744,R,0,1,0,0,0,0
745,G,0,0,1,0,0,0
748,W,0,0,0,1,0,0
749,GU,1,0,1,0,0,0
750,B,0,0,0,0,1,0
751,B,0,0,0,0,1,0
752,R,0,1,0,0,0,0
753,BG,0,0,1,0,1,0
754,W,0,0,0,1,0,0
755,UW,1,0,0,1,0,0
756,GW,0,0,1,1,0,0
757,U,1,0,0,0,0,0
758,U,1,0,0,0,0,0
760,R,0,1,0,0,0,0
761,B,0,0,0,0,1,0
762,R,0,1,0,0,0,0
763,W,0,0,0,1,0,0
764,W,0,0,0,1,0,0
765,B,0,0,0,0,1,0
766,U,1,0,0,0,0,0
768,W,0,0,0,1,0,0
769,W,0,0,0,1,0,0
770,W,0,0,0,1,0,0
771,U,1,0,0,0,0,0
772,RU,1,1,0,0,0,0
773,W,0,0,0,1,0,0
774,U,1,0,0,0,0,0
775,U,1,0,0,0,0,0
776,R,0,1,0,0,0,0
777,U,1,0,0,0,0,0
778,B,0,0,0,0,1,0
779,R,0,1,0,0,0,0
780,W,0,0,0,1,0,0
781,GW,0,0,1,1,0,0
782,U,1,0,0,0,0,0
783,B,0,0,0,0,1,0
784,W,0,0,0,1,0,0
785,G,0,0,1,0,0,0
786,U,1,0,0,0,0,0
787,,0,0,0,0,0,1
788,W,0,0,0,1,0,0
789,B,0,0,0,0,1,0
790,U,1,0,0,0,0,0
791,B,0,0,0,0,1,0
792,RUW,1,1,0,1,0,0
793,BGU,1,0,1,0,1,0
794,U,1,0,0,0,0,0
795,GR,0,1,1,0,0,0
796,R,0,1,0,0,0,0
797,,0,0,0,0,0,1
798,B,0,0,0,0,1,0
799,W,0,0,0,1,0,0
800,B,0,0,0,0,1,0
802,G,0,0,1,0,0,0
803,U,1,0,0,0,0,0
804,G,0,0,1,0,0,0
807,,0,0,0,0,0,1
808,U,1,0,0,0,0,0
810,,0,0,0,0,0,1
811,,0,0,0,0,0,1
812,B,0,0,0,0,1,0
813,BGRUW,1,1,1,1,1,0
814,GR,0,1,1,0,0,0
815,R,0,1,0,0,0,0
816,W,0,0,0,1,0,0
817,BR,0,1,0,0,1,0
819,W,0,0,0,1,0,0
820,BR,0,1,0,0,1,0
822,B,0,0,0,0,1,0
823,GW,0,0,1,1,0,0
824,B,0,0,0,0,1,0
825,BG,0,0,1,0,1,0
826,W,0,0,0,1,0,0
827,,0,0,0,0,0,1
828,G,0,0,1,0,0,0
829,B,0,0,0,0,1,0
830,BGU,1,0,1,0,1,0
831,R,0,1,0,0,0,0
832,B,0,0,0,0,1,0
833,U,1,0,0,0,0,0
834,G,0,0,1,0,0,0
835,W,0,0,0,1,0,0
836,BG,0,0,1,0,1,0
837,,0,0,0,0,0,1
838,,0,0,0,0,0,1
839,,0,0,0,0,0,1
840,R,0,1,0,0,0,0
841,G,0,0,1,0,0,0
842,BR,0,1,0,0,1,0
844,G,0,0,1,0,0,0
845,R,0,1,0,0,0,0
846,W,0,0,0,1,0,0
847,,0,0,0,0,0,1
848,R,0,1,0,0,0,0
849,,0,0,0,0,0,1
851,U,1,0,0,0,0,0
852,R,0,1,0,0,0,0
853,,0,0,0,0,0,1
854,W,0,0,0,1,0,0
855,R,0,1,0,0,0,0
856,R,0,1,0,0,0,0
857,W,0,0,0,1,0,0
858,R,0,1,0,0,0,0
859,BGW,0,0,1,1,1,0
860,W,0,0,0,1,0,0
861,W,0,0,0,1,0,0
862,U,1,0,0,0,0,0
863,U,1,0,0,0,0,0
864,GR,0,1,1,0,0,0
866,B,0,0,0,0,1,0
867,R,0,1,0,0,0,0
869,B,0,0,0,0,1,0
870,,0,0,0,0,0,1
872,B,0,0,0,0,1,0
874,G,0,0,1,0,0,0
875,R,0,1,0,0,0,0
876,G,0,0,1,0,0,0
877,W,0,0,0,1,0,0
878,G,0,0,1,0,0,0
879,R,0,1,0,0,0,0
880,R,0,1,0,0,0,0
882,RW,0,1,0,1,0,0
883,G,0,0,1,0,0,0
884,W,0,0,0,1,0,0
886,B,0,0,0,0,1,0
887,G,0,0,1,0,0,0
888,G,0,0,1,0,0,0
889,U,1,0,0,0,0,0
890,BW,0,0,0,1,1,0
891,W,0,0,0,1,0,0
893,,0,0,0,0,0,1
896,,0,0,0,0,0,1
897,U,1,0,0,0,0,0
898,W,0,0,0,1,0,0
899,R,0,1,0,0,0,0
900,U,1,0,0,0,0,0
901,G,0,0,1,0,0,0
902,W,0,0,0,1,0,0
903,W,0,0,0,1,0,0
904,U,1,0,0,0,0,0
905,W,0,0,0,1,0,0
906,UW,1,0,0,1,0,0
907,RU,1,1,0,0,0,0
908,R,0,1,0,0,0,0
909,R,0,1,0,0,0,0
910,G,0,0,1,0,0,0
912,G,0,0,1,0,0,0
913,,0,0,0,0,0,1
914,W,0,0,0,1,0,0
915,W,0,0,0,1,0,0
916,B,0,0,0,0,1,0
917,R,0,1,0,0,0,0
918,R,0,1,0,0,0,0
919,U,1,0,0,0,0,0
920,R,0,1,0,0,0,0
