,types
309,['Creature']
310,['Creature']
311,['Land']
312,['Token' 'Artifact']
313,['Enchantment']
314,['Land']
315,['Creature']
316,['Enchantment']
317,['Creature']
318,['Enchantment']
319,['Enchantment']
320,['Creature']
321,['Instant']
323,['Artifact' 'Creature']
324,['Instant']
325,['Artifact']
326,['Creature']
327,['Creature']
328,['Instant']
329,['Enchantment']
330,['Creature']
331,['Artifact']
332,['Instant']
333,['Instant']
334,['Creature']
335,['Creature']
336,['Instant']
337,['Creature']
338,['Creature']
339,['Enchantment']
340,['Sorcery']
341,['Enchantment']
342,['Instant']
343,['Artifact']
344,['Instant']
345,['Creature']
346,['Creature']
347,['Creature']
348,['Instant']
349,['Enchantment']
350,['Creature']
351,['Creature']
352,['Sorcery']
353,['Artifact']
354,['Creature']
355,['Card']
356,['Instant']
357,['Creature']
358,['Instant']
359,['Token' 'Creature']
360,['Instant']
362,['Creature']
364,['Card']
365,['Instant']
366,['Sorcery']
367,['Card']
368,['Creature']
369,['Instant']
370,['Creature']
371,['Instant']
372,['Creature']
373,['Creature']
374,['Creature']
375,['Enchantment']
376,['Card']
377,['Creature']
378,['Creature']
379,['Creature']
380,['Sorcery']
381,['Enchantment']
382,['Instant']
383,['Sorcery']
384,['Sorcery']
385,['Creature']
386,['Creature']
387,['Scheme']
388,['Creature']
389,['Creature']
390,['Sorcery']
391,['Land']
392,['Artifact']
393,['Creature']
394,['Land']
395,['Instant']
396,['Creature']
397,['Enchantment']
398,['Creature']
399,['Creature']
400,['Artifact']
401,['Artifact']
402,['Sorcery']
403,['Creature']
405,['Sorcery']
406,['Creature']
407,['Planeswalker']
408,['Creature']
409,['Creature']
410,['Instant']
411,['Creature']
412,['Creature']
413,['Creature']
415,['Land']
416,['Artifact']
417,['Creature']
419,['Instant']
420,['Creature']
421,['Creature']
422,['Creature']
423,['Creature']
424,['Instant']
425,['Creature']
426,['Creature']
427,['Creature']
428,['Instant']
429,['Land']
430,['Creature']
431,['Creature']
432,['Creature']
433,['Creature']
434,['Artifact' 'Creature']
435,['Creature']
436,['Land']
439,['Creature']
440,['Card']
441,['Creature']
442,['Creature']
443,['Creature']
444,['Creature']
445,['Instant']
446,['Artifact']
447,['Creature']
448,['Creature']
449,['Creature']
450,['Enchantment']
451,['Creature']
452,['Enchantment']
453,['Artifact' 'Creature']
454,['Card']
455,['Enchantment']
456,['Artifact']
457,['Sorcery']
458,['Artifact']
459,['Artifact']
460,['Creature']
461,['Sorcery']
462,['Artifact']
463,['Artifact']
464,['Creature']
465,['Creature']
466,['Creature']
467,['Creature']
468,['Creature']
469,['Creature']
470,['Enchantment']
471,['Creature']
472,['Sorcery']
473,['Creature']
474,['Creature']
475,['Creature']
477,['Instant']
478,['Planeswalker']
479,['Instant']
480,['Instant']
481,['Creature']
482,['Sorcery']
483,['Creature']
484,['Instant']
485,['Instant']
486,['Sorcery']
487,['Card']
488,['Creature']
489,['Creature']
491,['Instant']
492,['Creature']
493,['Card']
494,['Sorcery']
496,['Instant']
497,['Creature']
498,['Creature']
500,['Creature']
501,['Creature']
502,['Artifact']
503,['Creature']
504,['Token']
505,['Creature']
506,['Token' 'Creature']
507,['Sorcery']
508,['Creature']
509,['Token' 'Creature']
510,['Creature']
512,['Creature']
513,['Instant']
514,['Creature']
515,['Creature']
516,['Token' 'Creature']
517,['Creature']
518,['Sorcery']
519,['Creature']
520,['Creature']
521,['Creature']
522,['Artifact']
523,['Creature']
524,['Creature']
525,['Creature']
526,['Enchantment']
527,['Creature']
528,['Enchantment']
529,['Card']
531,['Creature']
532,['Land']
533,['Instant']
534,['Card']
535,['Instant']
536,['Planeswalker']
537,['Land']
538,['Creature']
539,['Creature']
540,['Creature']
541,['Creature']
542,['Creature']
543,['Instant']
544,['Land']
545,['Enchantment']
546,['Enchantment']
547,['Land']
548,['Sorcery']
549,['Sorcery']
550,['Land']
551,['Artifact']
552,['Card']
553,['Enchantment']
554,['Creature']
555,['Creature']
556,['Creature']
557,['Sorcery']
558,['Creature']
560,['Enchantment']
561,['Creature']
562,['Enchantment']
563,['Instant']
564,['Creature']
565,['Creature']
566,['Card']
567,['Creature']
568,['Instant']
569,['Enchantment']
570,['Creature']
571,['Creature']
572,['Creature']
573,['Enchantment']
574,['Sorcery']
575,['Creature']
576,['Card']
577,['Artifact']
578,['Creature']
579,['Creature']
580,['Creature']
581,['Sorcery']
582,['Instant']
584,['Creature']
585,['Sorcery']
586,['Enchantment']
587,['Sorcery']
588,['Instant']
589,['Plane']
590,['Creature']
591,['Creature']
592,['Sorcery']
593,['Artifact']
594,['Creature']
595,['Creature']
596,['Instant']
597,['Sorcery']
598,['Card']
599,['Creature']
600,['Creature']
601,['Land']
602,['Artifact']
604,['Creature']
605,['Sorcery']
606,['Creature']
607,['Creature']
608,['Creature']
609,['Sorcery']
610,['Creature']
611,['Creature']
612,['Creature']
613,['Vanguard']
614,['Creature']
615,['Instant']
616,['Creature']
617,['Enchantment']
618,['Creature']
619,['Creature']
620,['Creature']
621,['Enchantment']
622,['Creature']
623,['Creature']
624,['Enchantment']
625,['Enchantment']
626,['Creature']
627,['Creature']
628,['Sorcery']
629,['Creature']
630,['Sorcery']
631,['Creature']
632,['Instant']
633,['Creature']
634,['Planeswalker']
635,['Creature']
636,['Enchantment']
637,['Creature']
638,['Creature']
640,['Creature']
641,['Planeswalker']
642,['Artifact']
643,['Artifact']
645,['Land']
646,['Creature']
647,['Sorcery']
648,['Sorcery']
649,['Card']
650,['Instant']
651,['Creature']
652,['Creature']
653,['Sorcery']
654,['Instant']
655,['Creature']
656,['Creature']
657,['Planeswalker']
658,['Creature']
659,['Sorcery']
660,['Sorcery']
661,['Enchantment']
662,['Creature']
663,['Enchantment']
664,['Token' 'Creature']
666,['Instant']
667,['Creature']
668,['Creature']
669,['Land']
670,['Enchantment' 'Creature']
671,['Artifact']
672,['Creature']
673,['Planeswalker']
674,['Land']
675,['Instant']
676,['Creature']
677,['Instant']
678,['Creature']
679,['Enchantment']
680,['Creature']
681,['Creature']
682,['Creature']
683,['Instant']
684,['Creature']
685,['Creature']
686,['Token' 'Artifact' 'Creature']
687,['Creature']
688,['Creature']
689,['Instant']
690,['Sorcery']
691,['Creature']
692,['Creature']
693,['Planeswalker']
694,['Creature']
695,['Creature']
696,['Creature']
697,['Creature']
698,['Sorcery']
699,['Land']
700,['Creature']
701,['Instant']
702,['Creature']
703,['Phenomenon']
704,['Artifact' 'Creature']
705,['Artifact' 'Creature']
706,['Creature']
708,['Artifact']
709,['Creature']
710,['Sorcery']
711,['Sorcery']
712,['Creature']
713,['Artifact']
714,['Creature']
715,['Creature']
716,['Artifact']
717,['Enchantment']
718,['Creature']
719,['Creature']
720,['Creature']
721,['Instant']
722,['Creature']
723,['Sorcery']
724,['Artifact']
725,['Sorcery']
726,['Instant']
727,['Creature']
728,['Instant']
730,['Artifact' 'Creature']
731,['Creature']
732,['Instant']
733,['Creature']
734,['Creature']
735,['Enchantment']
737,['Artifact']
738,['Creature']
739,['Artifact']
740,['Instant']
741,['Instant']
742,['Creature']
743,['Sorcery']
744,['Token' 'Creature']
745,['Artifact' 'Creature']
748,['Creature']
749,['Land']
750,['Creature']
751,['Creature']
752,['Instant']
753,['Land']
754,['Creature']
755,['Creature']
756,['Enchantment' 'Creature']
757,['Enchantment']
758,['Instant']
760,['Instant']
761,['Creature']
762,['Creature']
763,['Creature']
764,['Creature']
765,['Enchantment']
766,['Instant']
768,['Creature']
769,['Creature']
770,['Enchantment']
771,['Enchantment']
772,['Instant']
773,['Creature']
774,['Creature']
775,['Creature']
776,['Creature']
777,['Enchantment']
778,['Token' 'Creature']
779,['Enchantment' 'Creature']
780,['Enchantment' 'Creature']
781,['Creature']
782,['Creature']
783,['Creature']
784,['Artifact']
785,['Creature']
786,['Token' 'Creature']
787,['Artifact']
788,['Creature']
789,['Enchantment']
790,['Sorcery']
791,['Enchantment']
792,['Creature']
793,['Sorcery']
794,['Land']
795,['Artifact']
796,['Creature']
797,['Card']
798,['Instant']
799,['Creature']
800,['Enchantment']
802,['Creature']
803,['Artifact' 'Creature']
804,['Creature']
807,['Artifact']
808,['Instant']
810,['Artifact']
811,['Artifact' 'Creature']
812,['Creature']
813,['Creature']
814,['Creature']
815,['Enchantment']
816,['Instant']
817,['Land']
819,['Creature']
820,['Land']
822,['Enchantment']
823,['Land']
824,['Sorcery']
825,['Creature']
826,['Instant']
827,['Artifact']
828,['Sorcery']
829,['Creature']
830,['Creature']
831,['Creature']
832,['Instant']
833,['Creature']
834,['Sorcery']
835,['Creature']
836,['Sorcery']
837,['Artifact']
838,['Artifact' 'Creature']
839,['Artifact']
840,['Creature']
841,['Creature']
842,['Instant']
844,['Creature']
845,['Token' 'Creature']
846,['Creature']
847,['Card']
848,['Enchantment']
849,['Creature']
851,['Creature']
852,['Creature']
853,['Artifact' 'Creature']
854,['Creature']
855,['Sorcery']
856,['Creature']
857,['Enchantment']
858,['Creature']
859,['Land']
860,['Enchantment']
861,['Creature']
862,['Creature']
863,['Instant']
864,['Creature']
866,['Enchantment']
867,['Planeswalker']
869,['Creature']
870,['Artifact']
872,['Creature']
874,['Creature']
875,['Creature']
876,['Creature']
877,['Creature']
878,['Token' 'Creature']
879,['Creature']
880,['Artifact']
882,['Instant']
883,['Creature']
884,['Instant']
886,['Instant']
887,['Enchantment']
888,['Enchantment']
889,['Creature']
890,['Creature']
891,['Creature']
893,['Card']
896,['Artifact' 'Creature']
897,['Creature']
898,['Creature']
899,['Sorcery']
900,['Instant']
901,['Enchantment']
902,['Creature']
903,['Creature']
904,['Creature']
905,['Creature']
906,['Creature']
907,['Creature']
908,['Creature']
909,['Creature']
910,['Creature']
912,['Creature']
913,['Card']
914,['Creature']
915,['Instant']
916,['Creature']
917,['Sorcery']
918,['Sorcery']
919,['Instant']
920,['Creature']
921,['Enchantment']
922,['Land']
924,['Creature']
925,['Creature']
927,['Creature']
928,['Creature']
930,['Creature']
931,['Sorcery']
932,['Land']
933,['Creature']
934,['Creature']
935,['Creature']
936,['Creature']
938,['Sorcery']
939,['Creature']
940,['Land']
941,['Creature']
942,['Sorcery']
943,['Instant']
944,['Artifact']
945,['Creature']
946,['Land']
947,['Enchantment']
948,['Enchantment' 'Creature']
949,['Creature']
950,['Instant']
951,['Enchantment']
952,['Enchantment']
953,['Instant']
954,['Creature']
955,['Sorcery']
956,['Artifact']
957,['Creature']
958,['Sorcery']
959,['Enchantment']
961,['Land']
962,['Creature']
963,['Artifact']
964,['Creature']
966,['Creature']
967,['Enchantment']
969,['Creature']
970,['Creature']
971,['Instant']
972,['Enchantment']
973,['Creature']
975,['Card']
976,['Creature']
977,['Creature']
978,['Instant']
979,['Artifact' 'Creature']
980,['Creature']
981,['Artifact']
982,['Creature']
983,['Creature']
984,['Card']
985,['Creature']
986,['Artifact']
987,['Instant']
988,['Creature']
989,['Creature']
990,['Instant']
991,['Enchantment']
992,['Artifact']
993,['Land']
995,['Sorcery']
996,['Sorcery']
997,['Instant']
998,['Artifact']
999,['Creature']
1000,['Creature']
1001,['Creature']
1002,['Creature']
1003,['Sorcery']
1004,['Creature']
1005,['Land']
1007,['Instant']
1008,['Token' 'Artifact' 'Creature']
1009,['Sorcery']
1010,['Land']
1011,['Sorcery']
1014,['Instant']
1015,['Artifact']
1016,['Emblem']
1017,['Token' 'Creature']
1018,['Creature']
1019,['Sorcery']
1020,['Artifact' 'Creature']
1022,['Card']
1023,['Creature']
1024,['Enchantment']
1025,['Card']
1026,['Land']
1027,['Enchantment']
1028,['Creature']
1029,['Token' 'Artifact' 'Creature']
1030,['Hero']
1034,['Instant']
1035,['Artifact' 'Creature']
1036,['Land']
1037,['Artifact' 'Creature']
1038,['Enchantment']
1039,['Card']
1040,['Sorcery']
1041,['Artifact' 'Creature']
1042,['Creature']
1043,['Instant']
1044,['Enchantment']
1045,['Creature']
1046,['Artifact']
1047,['Instant']
1049,['Instant']
1050,['Artifact' 'Creature']
1051,['Sorcery']
1052,['Enchantment']
1053,['Creature']
1054,['Creature']
1055,['Artifact' 'Creature']
1057,['Creature']
1058,['Sorcery']
1059,['Instant']
1060,['Creature']
1061,['Enchantment']
1062,['Creature']
1063,['Creature']
1064,['Artifact']
1065,['Artifact']
1066,['Creature']
1067,['Creature']
1068,['Creature']
1069,['Creature']
1070,['Enchantment']
1071,['Sorcery']
1072,['Creature']
1073,['Instant']
1074,['Artifact' 'Creature']
1075,['Instant']
1077,['Land']
1078,['Artifact' 'Creature']
1079,['Sorcery']
1080,['Land']
1082,['Land']
1083,['Enchantment']
1084,['Artifact' 'Creature']
1085,['Creature']
1086,['Instant']
1087,['Planeswalker']
1088,['Enchantment']
1089,['Artifact' 'Creature']
1090,['Instant']
1091,['Creature']
1092,['Enchantment']
1093,['Creature']
1094,['Enchantment']
1095,['Sorcery']
1096,['Creature']
1097,['Artifact' 'Creature']
1100,['Creature']
1101,['Sorcery']
1102,['Sorcery']
1103,['Creature']
1104,['Enchantment']
1105,['Artifact' 'Land']
1106,['Artifact' 'Creature']
1108,['Creature']
1109,['Artifact']
1110,['Artifact']
1111,['Instant']
1112,['Creature']
1113,['Enchantment']
1114,['Planeswalker']
1115,['Sorcery']
1116,['Creature']
1117,['Creature']
1118,['Enchantment']
1119,['Creature']
1120,['Enchantment']
1121,['Enchantment']
1122,['Artifact']
1123,['Creature']
1124,['Sorcery']
1125,['Creature']
1126,['Creature']
1127,['Creature']
1128,['Instant']
1129,['Card']
1131,['Artifact']
1132,['Creature']
1133,['Instant']
1134,['Instant']
1136,['Creature']
1137,['Creature']
1138,['Enchantment']
1139,['Stickers']
1140,['Enchantment']
1141,['Artifact' 'Creature']
1142,['Instant']
1143,['Artifact']
1144,['Creature']
1145,['Sorcery']
1148,['Creature']
1149,['Creature']
1150,['Creature']
1151,['Artifact']
1152,['Creature']
1153,['Instant']
1154,['Artifact' 'Creature']
1155,['Creature']
1156,['Planeswalker']
1157,['Land']
1158,['Creature']
1159,['Creature']
1160,['Artifact']
1161,['Creature']
1162,['Instant']
1163,['Land']
1164,['Instant']
1166,['Creature']
1167,['Creature']
1168,['Enchantment']
1169,['Instant']
1171,['Creature']
1172,['Artifact' 'Creature']
1173,['Creature']
1174,['Creature']
1176,['Creature']
1178,['Planeswalker']
1179,['Artifact' 'Creature']
1180,['Sorcery']
1181,['Creature']
1182,['Creature']
1183,['Instant']
1184,['Creature']
1185,['Enchantment']
1186,['Creature']
1187,['Artifact']
1188,['Creature']
1189,['Instant']
1190,['Creature']
1191,['Creature']
1192,['Creature']
1193,['Enchantment']
1194,['Instant']
1195,['Instant']
1196,['Creature']
1197,['Artifact']
1198,['Creature']
1199,['Creature']
1200,['Sorcery']
1201,['Creature']
1202,['Creature']
1203,['Creature']
1204,['Creature']
1205,['Sorcery']
1206,['Artifact']
1207,['Instant']
1208,['Creature']
1209,['Artifact' 'Creature']
1210,['Sorcery']
1212,['Artifact']
1213,['Sorcery']
1214,['Artifact']
1215,['Land']
1216,['Creature']
1217,['Creature']
1218,['Enchantment']
1220,['Artifact']
1221,['Enchantment']
1222,['Creature']
1223,['Enchantment']
1224,['Enchantment']
1227,['Instant']
1228,['Card']
1229,['Planeswalker']
1232,['Artifact']
1233,['Enchantment']
1234,['Creature']
1235,['Creature']
1236,['Creature']
1237,['Land']
1238,['Sorcery']
1240,['Artifact']
1241,['Enchantment']
1242,['Instant']
1243,['Instant']
1244,['Artifact' 'Land']
1246,['Land']
1247,['Creature']
1248,['Instant']
1249,['Instant']
1250,['Card']
1251,['Sorcery']
1253,['Land']
1254,['Creature']
1255,['Token' 'Creature']
1256,['Creature']
1257,['Creature']
1258,['Creature']
1259,['Artifact' 'Creature']
1260,['Creature']
1261,['Creature']
1262,['Instant']
1263,['Enchantment']
1264,['Creature']
1265,['Creature']
1266,['Enchantment']
1268,['Sorcery']
1269,['Artifact']
1271,['Land']
1272,['Creature']
1273,['Instant']
1274,['Creature']
1275,['Instant']
1276,['Enchantment']
1277,['Creature']
1278,['Creature']
1279,['Land']
1280,['Sorcery']
1281,['Creature']
1282,['Creature']
1283,['Card']
1284,['Sorcery']
1285,['Land']
1286,['Land']
1287,['Creature']
1288,['Land']
1289,['Sorcery']
1290,['Creature']
1292,['Sorcery']
1293,['Sorcery']
1295,['Artifact' 'Creature']
1296,['Sorcery']
1297,['Creature']
1298,['Creature']
1299,['Instant']
1300,['Sorcery']
1301,['Creature']
1302,['Creature']
1303,['Card']
1304,['Enchantment']
1305,['Creature']
1306,['Creature']
1307,['Instant']
1308,['Artifact']
1309,['Instant']
1311,['Creature']
1312,['Enchantment']
1313,['Enchantment']
1316,['Artifact']
1317,['Artifact']
1319,['Creature']
1320,['Creature']
1321,['Planeswalker']
1322,['Creature']
1323,['Artifact']
1324,['Creature']
1325,['Creature']
1326,['Creature']
1327,['Creature']
1328,['Creature']
1329,['Creature']
1330,['Artifact']
1331,['Instant']
1332,['Creature']
1333,['Creature']
1334,['Creature']
1335,['Artifact' 'Creature']
1336,['Sorcery']
1337,['Vanguard']
1338,['Land']
1339,['Enchantment']
1340,['Enchantment']
1341,['Creature']
1342,['Sorcery']
1344,['Enchantment']
1345,['Instant']
1346,['Creature']
1347,['Creature']
1348,['Creature']
1349,['Enchantment']
1350,['Creature']
1351,['Artifact']
1352,['Land']
1353,['Creature']
1354,['Creature']
1355,['Instant']
1356,['Card']
1357,['Card']
1359,['Sorcery']
1360,['Creature']
1362,['Creature']
1363,['Creature']
1364,['Enchantment']
1366,['Creature']
1367,['Instant']
1368,['Artifact' 'Creature']
1369,['Instant']
1370,['Card']
1372,['Creature']
1373,['Creature']
1374,['Creature']
1375,['Creature']
1376,['Card']
1377,['Sorcery']
1378,['Enchantment']
1379,['Instant']
1380,['Creature']
1381,['Instant']
1382,['Creature']
1384,['Creature']
1385,['Creature']
1386,['Artifact']
1387,['Creature']
1389,['Sorcery']
1390,['Creature']
1391,['Instant']
1392,['Creature']
1393,['Artifact']
1395,['Artifact' 'Creature']
1396,['Creature']
1398,['Land']
1399,['Instant']
1401,['Creature']
1402,['Planeswalker']
1403,['Enchantment']
1404,['Creature']
1405,['Tribal' 'Instant']
1406,['Creature']
1407,['Token' 'Creature']
1408,['Sorcery']
1410,['Sorcery']
1411,['Creature']
1413,['Creature']
1414,['Creature']
1415,['Creature']
1416,['Creature']
1417,['Creature']
1419,['Creature']
1420,['Land']
1421,['Instant']
1422,['Sorcery']
1423,['Artifact']
1424,['Creature']
1425,['Creature']
1426,['Artifact']
1427,['Enchantment']
1428,['Creature']
1429,['Creature']
1430,['Artifact']
1432,['Creature']
1434,['Creature']
1435,['Creature']
1436,['Token' 'Creature']
1437,['Creature']
1438,['Instant']
1439,['Land']
1440,['Instant']
1441,['Creature']
1442,['Creature']
1443,['Creature']
1444,['Artifact' 'Creature']
1445,['Creature']
1446,['Creature']
1447,['Artifact']
1448,['Artifact' 'Creature']
1449,['Sorcery']
1450,['Creature']
1451,['Creature']
1452,['Creature']
1453,['Sorcery']
1454,['Instant']
1455,['Creature']
1456,['Creature']
1457,['Land']
1458,['Token' 'Creature']
1459,['Sorcery']
1460,['Instant']
1462,['Creature']
1464,['Sorcery']
1465,['Sorcery']
1466,['Creature']
1468,['Creature']
1469,['Artifact']
1470,['Creature']
1471,['Creature']
1472,['Sorcery']
1473,['Creature']
1474,['Creature']
1475,['Enchantment']
1476,['Instant']
1477,['Card']
1479,['Creature']
1480,['Instant']
1481,['Creature']
1482,['Enchantment']
1483,['Instant']
1484,['Creature']
1485,['Creature']
1486,['Sorcery']
1487,['Creature']
1488,['Artifact']
1489,['Artifact']
1490,['Enchantment']
1491,['Creature']
1492,['Artifact' 'Creature']
1494,['Creature']
1495,['Creature']
1496,['Card']
1497,['Creature']
1498,['Sorcery']
1499,['Land']
1500,['Enchantment']
1501,['Card']
1502,['Sorcery']
1504,['Planeswalker']
1505,['Creature']
1506,['Creature']
1507,['Creature']
1508,['Artifact']
1509,['Sorcery']
1511,['Enchantment']
1512,['Artifact']
1513,['Creature']
1514,['Creature']
1515,['Creature']
1517,['Card']
1518,['Sorcery']
1519,['Creature']
1520,['Sorcery']
1521,['Creature']
1522,['Creature']
1523,['Enchantment']
1524,['Sorcery']
1525,['Instant']
1526,['Card']
1527,['Artifact']
1528,['Instant']
1529,['Sorcery']
1530,['Creature']
1531,['Instant']
1533,['Instant']
1534,['Land']
1535,['Enchantment' 'Creature']
1536,['Land']
1537,['Sorcery']
1538,['Artifact']
1539,['Artifact' 'Creature']
1540,['Land']
1542,['Plane']
1543,['Card']
1544,['Creature']
1546,['Sorcery']
1547,['Creature']
1548,['Sorcery']
1549,['Creature']
1550,['Instant']
1551,['Creature']
1552,['Creature']
1553,['Sorcery']
1554,['Creature']
1555,['Creature']
1556,['Sorcery']
1558,['Creature']
1560,['Land']
1561,['Card']
1562,['Enchantment']
1563,['Creature']
1564,['Instant']
1565,['Instant']
1566,['Enchantment']
1567,['Creature']
1568,['Token' 'Creature']
1569,['Creature']
1570,['Creature']
1571,['Instant']
1572,['Creature']
1573,['Planeswalker']
1574,['Creature']
1575,['Sorcery']
1576,['Instant']
1577,['Creature']
1578,['Instant']
1579,['Creature']
1581,['Creature']
1582,['Enchantment']
1583,['Creature']
1584,['Artifact']
1585,['Enchantment']
1586,['Planeswalker']
1588,['Sorcery']
1589,['Enchantment']
1590,['Sorcery']
1592,['Sorcery']
1593,['Creature']
1594,['Artifact']
1595,['Sorcery']
1596,['Instant']
1597,['Enchantment']
1598,['Sorcery']
1599,['Creature']
1600,['Instant']
1601,['Creature']
1602,['Creature']
1603,['Enchantment']
1604,['Creature']
1605,['Creature']
1606,['Sorcery']
1607,['Instant']
1609,['Creature']
1610,['Instant']
1611,['Token' 'Creature']
1612,['Creature']
1613,['Sorcery']
1614,['Artifact']
1615,['Sorcery']
1617,['Enchantment']
1618,['Enchantment' 'Creature']
1619,['Enchantment']
1620,['Creature']
1621,['Instant']
1623,['Creature']
1624,['Creature']
1625,['Artifact']
1626,['Creature']
1627,['Creature']
1628,['Instant']
1629,['Creature']
1630,['Land']
1631,['Creature']
1632,['Creature']
1633,['Artifact']
1634,['Creature']
1635,['Creature']
1636,['Sorcery']
1638,['Sorcery']
1639,['Instant']
1640,['Instant']
1642,['Creature']
1643,['Token' 'Creature']
1644,['Creature']
1645,['Creature']
1646,['Creature']
1647,['Artifact']
1648,['Creature']
1649,['Creature']
1650,['Instant']
1651,['Creature']
